,date ,mean
0,12/6/2016,0.81
2,11/6/2016,0.93
4,10/6/2016,0.
6,9/6/2016,0.87
8,8/6/2016,0.98
10,7/6/2016,0.83
12,6/6/2016,0.76
14,5/6/2016,0.93
16,4/6/2016,1.09
18,3/6/2016,1.3
20,2/6/2016,1.35
22,1/6/2016,1.17
24,12/6/2015,1.11
26,11/6/2015,1.04
28,10/6/2015,1.06
30,9/6/2015,0.81
32,8/6/2015,0.78
34,7/6/2015,0.71
36,6/6/2015,0.78
38,5/6/2015,0.78
40,4/6/2015,0.74
42,3/6/2015,0.9
44,2/6/2015,0.86
46,1/6/2015,0.81
48,12/6/2014,0.79
50,11/6/2014,0.67
52,10/6/2014,0.85
54,9/6/2014,0.9
56,8/6/2014,0.82
58,7/6/2014,0.57
60,6/6/2014,0.66
62,5/6/2014,0.87
64,4/6/2014,0.78
66,3/6/2014,0.77
68,2/6/2014,0.51
70,1/6/2014,0.73
72,12/6/2013,0.67
74,11/6/2013,0.81
76,10/6/2013,0.69
78,9/6/2013,0.78
80,8/6/2013,0.66
82,7/6/2013,0.59
84,6/6/2013,0.65
86,5/6/2013,0.61
88,4/6/2013,0.52
90,3/6/2013,0.66
92,2/6/2013,0.55
94,1/6/2013,0.68
96,12/6/2012,0.53
98,11/6/2012,0.75
100,10/6/2012,0.78
102,9/6/2012,0.76
104,8/6/2012,0.63
106,7/6/2012,0.57
108,6/6/2012,0.62
110,5/6/2012,0.76
112,4/6/2012,0.69
114,3/6/2012,0.58
116,2/6/2012,0.49
118,1/6/2012,0.46
120,12/6/2011,0.54
122,11/6/2011,0.56
124,10/6/2011,0.66
126,9/6/2011,0.56
128,8/6/2011,0.73
130,7/6/2011,0.73
132,6/6/2011,0.59
134,5/6/2011,0.53
136,4/6/2011,0.65
138,3/6/2011,0.64
140,2/6/2011,0.53
142,1/6/2011,0.51
144,12/6/2010,0.49
146,11/6/2010,0.79
148,10/6/2010,0.71
150,9/6/2010,0.61
152,8/6/2010,0.65
154,7/6/2010,0.62
156,6/6/2010,0.64
158,5/6/2010,0.75
160,4/6/2010,0.87
162,3/6/2010,0.92
164,2/6/2010,0.78
166,1/6/2010,0.73
168,12/6/2009,0.65
170,11/6/2009,0.77
172,10/6/2009,0.64
174,9/6/2009,0.7
176,8/6/2009,0.66
178,7/6/2009,0.72
180,6/6/2009,0.65
182,5/6/2009,0.65
184,4/6/2009,0.61
186,3/6/2009,0.53
188,2/6/2009,0.53
190,1/6/2009,0.62
192,12/6/2008,0.54
194,11/6/2008,0.66
196,10/6/2008,0.67
198,9/6/2008,0.65
200,8/6/2008,0.44
202,7/6/2008,0.6
204,6/6/2008,0.48
206,5/6/2008,0.51
208,4/6/2008,0.53
210,3/6/2008,0.73
212,2/6/2008,0.36
214,1/6/2008,0.24
216,12/6/2007,0.5
218,11/6/2007,0.57
220,10/6/2007,0.6
222,9/6/2007,0.64
224,8/6/2007,0.6
226,7/6/2007,0.62
228,6/6/2007,0.58
230,5/6/2007,0.67
232,4/6/2007,0.76
234,3/6/2007,0.7
236,2/6/2007,0.7
238,1/6/2007,0.96
240,12/6/2006,0.77
242,11/6/2006,0.72
244,10/6/2006,0.69
246,9/6/2006,0.64
248,8/6/2006,0.72
250,7/6/2006,0.54
252,6/6/2006,0.64
254,5/6/2006,0.47
256,4/6/2006,0.5
258,3/6/2006,0.63
260,2/6/2006,0.7
262,1/6/2006,0.57
264,12/6/2005,0.68
266,11/6/2005,0.76
268,10/6/2005,0.8
270,9/6/2005,0.78
272,8/6/2005,0.63
274,7/6/2005,0.66
276,6/6/2005,0.67
278,5/6/2005,0.65
280,4/6/2005,0.69
282,3/6/2005,0.69
284,2/6/2005,0.58
286,1/6/2005,0.72
288,12/6/2004,0.52
290,11/6/2004,0.72
292,10/6/2004,0.66
294,9/6/2004,0.53
296,8/6/2004,0.45
298,7/6/2004,0.26
300,6/6/2004,0.43
302,5/6/2004,0.42
304,4/6/2004,0.62
306,3/6/2004,0.64
308,2/6/2004,0.71
310,1/6/2004,0.59
312,12/6/2003,0.75
314,11/6/2003,0.55
316,10/6/2003,0.75
318,9/6/2003,0.66
320,8/6/2003,0.66
322,7/6/2003,0.55
324,6/6/2003,0.49
326,5/6/2003,0.62
328,4/6/2003,0.55
330,3/6/2003,0.57
332,2/6/2003,0.55
334,1/6/2003,0.73
336,12/6/2002,0.43
338,11/6/2002,0.59
340,10/6/2002,0.57
342,9/6/2002,0.65
344,8/6/2002,0.55
346,7/6/2002,0.62
348,6/6/2002,0.54
350,5/6/2002,0.65
352,4/6/2002,0.58
354,3/6/2002,0.91
356,2/6/2002,0.76
358,1/6/2002,0.75
360,12/6/2001,0.55
362,11/6/2001,0.7
364,10/6/2001,0.52
366,9/6/2001,0.56
368,8/6/2001,0.49
370,7/6/2001,0.61
372,6/6/2001,0.55
374,5/6/2001,0.59
376,4/6/2001,0.52
378,3/6/2001,0.58
380,2/6/2001,0.46
382,1/6/2001,0.44
384,12/6/2000,0.3
386,11/6/2000,0.34
388,10/6/2000,0.3
390,9/6/2000,0.42
392,8/6/2000,0.43
394,7/6/2000,0.42
396,6/6/2000,0.44
398,5/6/2000,0.4
400,4/6/2000,0.59
402,3/6/2000,0.6
404,2/6/2000,0.58
406,1/6/2000,0.26
408,12/6/1999,0.46
410,11/6/1999,0.42
412,10/6/1999,0.43
414,9/6/1999,0.43
416,8/6/1999,0.34
418,7/6/1999,0.41
420,6/6/1999,0.37
422,5/6/1999,0.33
424,4/6/1999,0.34
426,3/6/1999,0.34
428,2/6/1999,0.66
430,1/6/1999,0.48
432,12/6/1998,0.56
434,11/6/1998,0.5
436,10/6/1998,0.47
